date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,shares_outstanding,market_capitalization,p_e_ratio,sma_50,next_close
2024-12-10,AAPL,247.77,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3745247464710.0,254.1563154662052,231.063,246.49
2024-12-11,AAPL,246.49,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3725899211270.0,252.84332324036373,231.4686,247.96
2024-12-12,AAPL,247.96,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3748119471080.0,254.35121274972855,231.8922,248.13
2024-12-13,AAPL,248.13,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3750689160990.0,254.52559452972312,232.3414,251.04
2024-12-16,AAPL,251.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3794676205920.0,257.5106002931596,232.8262,253.48
2024-12-17,AAPL,253.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3831558814040.0,260.0134917236699,233.46200000000002,248.05
2024-12-18,AAPL,248.05,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3749479895150.0,254.44353251560804,233.90759999999997,249.79
2024-12-19,AAPL,249.79,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3775781427170.0,256.2283813226113,234.31260000000003,254.49
2024-12-20,AAPL,254.49,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3846825795270.0,261.04952465187296,234.8216,255.27
2024-12-23,AAPL,255.27,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3858616137210.0,261.8496292894951,235.37599999999998,258.2
2024-12-24,AAPL,258.2,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3902905498600.0,264.8551505564604,235.91400000000002,259.02
2024-12-26,AAPL,259.02,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3915300473459.9995,265.69628620114,236.41740000000001,255.59
2024-12-27,AAPL,255.59,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3863453200570.0,262.1778773459555,236.8936,252.2
2024-12-30,AAPL,252.2,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3812210560600.0,258.70049949782845,237.2946,250.42
2024-12-31,AAPL,250.42,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3785304395660.0,104.1922487107074,237.60299999999998,243.85
2025-01-02,AAPL,243.85,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3685993438550.0,101.45866882879163,237.7504,243.36
2025-01-03,AAPL,243.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3678586685280.0,101.25479453014037,237.90040000000002,245.0
2025-01-06,AAPL,245.0,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3703376635000.0,101.93714932562621,238.1852,242.21
2025-01-07,AAPL,242.21,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3661203488830.0,100.77631403330581,238.418,242.7
2025-01-08,AAPL,242.7,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3668610242100.0,100.98018833195707,238.6438,236.85
2025-01-10,AAPL,236.85,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3580182677550.0,98.54617884805945,238.71280000000002,234.4
2025-01-13,AAPL,234.4,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3543148911200.0,97.5268073548032,238.72740000000002,233.28
2025-01-14,AAPL,233.28,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3526219189440.0,97.06080895788604,238.79100000000003,237.87
2025-01-15,AAPL,237.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3595600817010.0,98.97057024525186,239.0302,228.26
2025-01-16,AAPL,228.26,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15115823000.0,3450337757980.0,94.97213757170383,239.1372,229.98
2025-01-17,AAPL,229.98,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3454776348540.0,95.09431182328655,239.2966,222.64
2025-01-21,AAPL,222.64,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3344514332720.0,92.05929900137627,239.28040000000001,223.83
2025-01-22,AAPL,223.83,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3362390599590.0,92.55135148885219,239.3026,223.66
2025-01-23,AAPL,223.66,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3359836847180.0,92.48105827635563,239.22620000000003,222.78
2025-01-24,AAPL,222.78,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3346617422940.0,92.11718752931462,239.1426,229.86
2025-01-27,AAPL,229.86,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3452973699780.0,95.04469308505368,239.2552,238.26
2025-01-28,AAPL,238.26,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3579159112980.0,98.51800476135425,239.53580000000002,239.36
2025-01-29,AAPL,239.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3595683393280.0,98.97284319515552,239.8206,237.59
2025-01-30,AAPL,237.59,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3569094324070.0,98.24096680622075,240.00799999999998,236.0
2025-01-31,AAPL,236.0,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3545209228000.0,97.58351852463528,240.22799999999998,228.01
2025-02-03,AAPL,228.01,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3425182864730.0,94.279737537297,240.2278,232.8
2025-02-04,AAPL,232.8,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3497138594400.0,96.26035217175888,240.3182,232.47
2025-02-05,AAPL,232.47,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3492181310310.0,96.12390064161849,240.3876,233.22
2025-02-06,AAPL,233.22,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3503447865060.0,96.4340177555739,240.4816,227.63
2025-02-07,AAPL,227.63,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3419474476990.0,94.12261153289293,240.4368,227.65
2025-02-10,AAPL,227.65,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3419774918450.0,94.1308813225984,240.33239999999998,232.62
2025-02-11,AAPL,232.62,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3494434621260.0,96.18592406440958,240.2836,236.87
2025-02-12,AAPL,236.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3558278431510.0,97.94325437682356,240.3224,241.53
2025-02-13,AAPL,241.53,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3628281291690.0,99.87011537819984,240.4064,244.6
2025-02-14,AAPL,244.6,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3674399055800.0,101.13952809799063,240.5066,244.47
2025-02-18,AAPL,244.47,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3672446186310.0,101.08577446490504,240.543,244.87
2025-02-19,AAPL,244.87,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3678455015510.0,101.25117025901459,240.5802,245.83
2025-02-20,AAPL,245.83,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3692876205590.0,101.64812016487751,240.63600000000002,245.55
2025-02-21,AAPL,245.55,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3688670025150.0,101.53234310900082,240.6902,247.1
2025-02-24,AAPL,247.1,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3711954238300.0,102.17325181117533,240.6972,247.04
2025-02-25,AAPL,247.04,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3711052913920.0,102.14844244205891,240.68259999999998,240.36
2025-02-26,AAPL,240.36,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3610705466280.0,99.38633268042939,240.56,237.3
2025-02-27,AAPL,237.3,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3564737922900.0,98.12105485549132,240.3468,241.84
2025-02-28,AAPL,241.84,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3632938134320.0,99.99829711863474,240.22099999999998,238.03
2025-03-03,AAPL,238.03,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3575704036190.0,98.42290217974126,239.9608,235.93
2025-03-04,AAPL,235.93,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3544157682890.0,97.55457426066612,239.6098,235.74
2025-03-05,AAPL,235.74,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3541303489020.0,97.47601125846408,239.36360000000002,235.33
2025-03-06,AAPL,235.33,Q1,2025.0,124300000000.0,36330000000.0,277327000000.0,66758000000.0,84768000000.0,15022073000.0,3535144439090.0,97.30648056950179,239.0744,
